TML_DTA_SOMM,TML_REGIONE,TML_NUTS,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2
2021-01-16,Veneto,ITH3,1490,2876,0,2547,984,636,199,4366,0
2021-01-17,Abruzzo,ITF1,88,117,0,188,2,0,15,205,0
2021-01-17,Basilicata,ITF5,76,110,0,102,70,14,0,186,0
2021-01-17,Calabria,ITF6,133,111,0,141,38,18,47,244,0
2021-01-17,Campania,ITF3,374,478,0,442,22,159,229,701,151
2021-01-17,Emilia-Romagna,ITH5,690,1481,6,1306,107,59,699,2171,0
2021-01-17,Lazio,ITI4,1717,2600,0,2406,145,174,1592,4277,40
2021-01-17,Liguria,ITC3,299,567,0,387,81,261,137,866,0
2021-01-17,Lombardia,ITC4,2889,4186,0,4745,1683,258,389,6897,178
2021-01-17,Marche,ITI3,525,847,0,954,365,45,8,1372,0
2021-01-17,Molise,ITF2,23,25,0,48,0,0,0,48,0
2021-01-17,P.A. Bolzano,ITH1,418,559,0,24,26,0,927,974,3
2021-01-17,Piemonte,ITC1,945,1771,0,1707,581,428,0,2174,542
2021-01-17,Puglia,ITF4,133,72,0,85,102,18,0,189,16
2021-01-17,Sardegna,ITG2,277,582,0,736,116,0,7,858,1
2021-01-17,Sicilia,ITG1,501,560,0,515,228,102,216,1027,34
2021-01-17,Toscana,ITI1,741,1539,0,1830,286,164,0,1925,0
2021-01-17,Umbria,ITI2,17,37,0,28,26,0,0,54,0
2021-01-17,Valle d'Aosta,ITC2,56,75,0,52,0,20,59,131,0
2021-01-17,Veneto,ITH3,528,822,0,815,288,120,127,1350,0
