TML_DTA_SOMM,TML_VAX_FORNITORE,TML_COD_STRUTTURA,TML_DES_STRUTTURA,TML_AREA,TML_FASCIA_ETA,TML_SESSO_M,TML_SESSO_F,TML_GRAVIDANZA,TML_CAT_OSS,TML_CAT_PERSONALE,TML_CAT_RSA_OSPITI,TML_CAT_ALTRO,TML_DOSE_1,TML_DOSE_2,TML_TOT_SOMM,TML_REGIONE,TML_NUTS
2020-12-31,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,50-59,22,39,0,59,2,0,0,61,0,61,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,60-69,23,12,0,35,0,0,0,35,0,35,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,70-79,3,0,0,2,1,0,0,3,0,3,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,12M810,MONFALCONE,FVG,20-29,1,15,0,13,0,0,3,16,0,16,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,12M810,MONFALCONE,FVG,30-39,14,23,0,35,1,0,1,37,0,37,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,12M810,MONFALCONE,FVG,40-49,14,40,0,51,3,0,0,54,0,54,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,12M810,MONFALCONE,FVG,50-59,17,52,0,67,2,0,0,69,0,69,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,12M810,MONFALCONE,FVG,60-69,23,21,0,41,3,0,0,44,0,44,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,12M810,MONFALCONE,FVG,70-79,3,2,0,5,0,0,0,5,0,5,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,12M810,MONFALCONE,FVG,80-89,1,0,0,1,0,0,0,1,0,1,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,20-29,3,12,0,9,0,0,6,15,0,15,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,30-39,22,38,0,53,1,0,6,60,0,60,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,40-49,11,19,0,29,1,0,0,30,0,30,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,50-59,9,12,0,21,0,0,0,21,0,21,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,60-69,9,8,0,17,0,0,0,17,0,17,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,14VP13,SANTA MARIA DELLA  MISERICORDIA,FVG,70-79,1,0,0,1,0,0,0,1,0,1,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,201010,CATTINARA,FVG,20-29,16,20,0,17,0,0,19,36,0,36,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,201010,CATTINARA,FVG,30-39,33,26,0,52,1,0,6,59,0,59,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,201010,CATTINARA,FVG,40-49,17,36,0,49,3,0,1,53,0,53,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,201010,CATTINARA,FVG,50-59,13,40,0,51,2,0,0,53,0,53,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,201010,CATTINARA,FVG,60-69,12,13,0,24,1,0,0,25,0,25,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,201010,CATTINARA,FVG,70-79,6,0,0,6,0,0,0,6,0,6,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,201010,CATTINARA,FVG,90+,1,0,0,1,0,0,0,1,0,1,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,220101,TOLMEZZO,FVG,20-29,9,16,0,21,3,0,1,25,0,25,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,220101,TOLMEZZO,FVG,30-39,14,25,0,37,1,0,1,39,0,39,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,220101,TOLMEZZO,FVG,40-49,9,51,0,56,4,0,0,60,0,60,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,220101,TOLMEZZO,FVG,50-59,22,67,0,82,7,0,0,89,0,89,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,220101,TOLMEZZO,FVG,60-69,17,8,0,25,0,0,0,25,0,25,Friuli Venezia Giulia,ITH4
2020-12-31,PF/BT,220101,TOLMEZZO,FVG,70-79,2,0,0,2,0,0,0,2,0,2,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,20-29,9,25,0,27,1,0,6,34,0,34,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,30-39,17,39,0,54,2,0,0,56,0,56,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,40-49,21,34,0,51,4,0,0,55,0,55,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,50-59,14,45,0,54,5,0,0,59,0,59,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,60-69,32,7,0,34,5,0,0,39,0,39,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,117510,SANTA MARIA DEGLI ANGELI,FVG,70-79,8,1,0,9,0,0,0,9,0,9,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,12M810,MONFALCONE,FVG,20-29,22,25,0,41,0,0,6,47,0,47,Friuli Venezia Giulia,ITH4
2021-01-02,PF/BT,12M810,MONFALCONE,FVG,30-39,23,40,0,55,7,0,1,63,0,63,Friuli Venezia Giulia,ITH4
